ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/07/2025;COBERTURA;IMPORTE AFILIADO
45248;atorvastatín;AMPLIAR;40 mg comp.x 30;Casasco;$ 56418.24;80%;$ 11283.65
58291;atorvastatín;AMPLIAR;80 mg comp.x 30;Casasco;$ 70490.42;80%;$ 14098.08
42576;atorvastatín+ezetimibe;AMPLIAR PLUS;10/10 mg comp.x 30;Casasco;$ 34911.84;50%;$ 17455.92
36180;atorvastatín+ezetimibe;AMPLIAR DUO;10/10 mg comp.x 60;Casasco;$ 31839.72;50%;$ 15919.86
42577;atorvastatín+ezetimibe;AMPLIAR PLUS;20/10 mg comp.x 30;Casasco;$ 47312.61;50%;$ 23656.31
36181;atorvastatín+ezetimibe;AMPLIAR DUO;20/10 mg comp.x 60;Casasco;$ 37363.45;50%;$ 18681.73
11939;bencidamina,clorhidrato;ERNEX;comp.desleíbles x 10;Casasco;$ 5878.15;50%;$ 2939.08
11554;bencidamina,clorhidrato;ERNEX;comp.desleíbles x 20;Casasco;$ 10580.69;50%;$ 5290.35
1946;bencidamina,clorhidrato;ERNEX;líq.x 120 ml;Casasco;$ 9592.72;50%;$ 4796.36
9327;bencidamina,clorhidrato;ERNEX;sol.spray x 30 ml;Casasco;$ 11958.48;50%;$ 5979.24
52828;betahistina;OTEVIL;16 mg comp.x 30;Casasco;$ 13003.07;50%;$ 6501.54
52829;betahistina;OTEVIL;24 mg comp.x 30;Casasco;$ 19485.89;50%;$ 9742.95
53101;betahistina;OTEVIL;24 mg comp.x 60;Casasco;$ 35085.07;50%;$ 17542.54
44185;betametasona;CORTICAS;0.6 mg comp.x 30;Casasco;$ 8798.33;50%;$ 4399.17
49691;betametasona;CORTICAS;cr.x 20 g;Casasco;$ 9011.67;50%;$ 4505.84
44186;betametasona;CORTICAS;gts.x 20 ml;Casasco;$ 3657.83;50%;$ 1828.92
50667;betametasona;CORTICAS;gts.x 30 ml;Casasco;$ 2605.82;50%;$ 1302.91
44187;betametasona;CORTICAS;iny.f.a.x 1 x 2 ml;Casasco;$ 4988.1;50%;$ 2494.05
44188;betametasona (acet.y fosf.disod);CORTICAS RETARD;iny.f.a.x 1 x 2 ml;Casasco;$ 11308.47;50%;$ 5654.24
44189;betametasona (diprop.y f.disod.);CRONO CORTICAS;susp.iny.f.a.x 1 x 2 ml;Casasco;$ 12321.71;50%;$ 6160.86
31565;betametasona+gentamic.+miconazol;FACTOR DERMICO;pomo x 10 g;Casasco;$ 8135.28;50%;$ 4067.64
24820;betametasona+gentamic.+miconazol;FACTOR DERMICO;pomo x 20 g;Casasco;$ 13639.26;50%;$ 6819.63
50473;calcipotriol+betametasona,diprop;CALCI CORTICAS;ung.x 30 g;Casasco;$ 36033.03;50%;$ 18016.52
55261;carbocisteína+dextrometorfano br;SUPRITOS;jbe.x 100 ml;Casasco;$ 12943.73;60%;$ 5177.49
31365;carvedilol;ISOBLOC;12.5 mg comp.x 30;Casasco;$ 12338.58;60%;$ 4935.43
51832;carvedilol;ISOBLOC;12.5 mg comp.x 60;Casasco;$ 18654.93;60%;$ 7461.97
46816;carvedilol;ISOBLOC CR 20 MG;20 mg cáps.x 30;Casasco;$ 17277.43;60%;$ 6910.97
31366;carvedilol;ISOBLOC;25 mg comp.x 30;Casasco;$ 14790.64;60%;$ 5916.26
51833;carvedilol;ISOBLOC;25 mg comp.x 60;Casasco;$ 23455.48;60%;$ 9382.19
59783;carvedilol;ISOBLOC;3.125 mg comp.x 30;Casasco;$ 4533.61;60%;$ 1813.44
59784;carvedilol;ISOBLOC;3.125 mg comp.x 60;Casasco;$ 5673.82;60%;$ 2269.53
46817;carvedilol;ISOBLOC CR 40 MG;40 mg cáps.x 30;Casasco;$ 21645.46;60%;$ 8658.18
31364;carvedilol;ISOBLOC;6.25 mg comp.x 30;Casasco;$ 7402.33;60%;$ 2960.93
51831;carvedilol;ISOBLOC;6.25 mg comp.x 60;Casasco;$ 12716.11;60%;$ 5086.44
42065;carvedilol+hidroclorotiazida;ISOBLOC D;comp.x 30;Casasco;$ 15416.39;50%;$ 7708.2
43492;cilostazol;ACLUSIN;100 mg comp.x 30;Casasco;$ 30398.59;60%;$ 12159.44
52591;cilostazol;ACLUSIN;100 mg comp.x 60;Casasco;$ 53667.63;60%;$ 21467.05
43491;cilostazol;ACLUSIN;50 mg comp.x 30;Casasco;$ 15817.92;60%;$ 6327.17
44635;ciprofloxacina;REXNER XR;1000 mg comp.x 7;Casasco;$ 22568.92;60%;$ 9027.57
27685;ciprofloxacina;REXNER;500 mg comp.x 10;Casasco;$ 15254.23;60%;$ 6101.69
30022;ciprofloxacina;REXNER;500 mg comp.x 20;Casasco;$ 27819.36;60%;$ 11127.74
44634;ciprofloxacina;REXNER XR;500 mg comp.x 5;Casasco;$ 986.19;60%;$ 394.48
30021;ciprofloxacina;REXNER;500 mg comp.x 6;Casasco;$ 760.26;60%;$ 304.1
25261;claritromicina;ISET;250 mg comp.x 16;Casasco;$ 14842.45;60%;$ 5936.98
24440;claritromicina;ISET;250 mg/5 ml jbe.x 60 ml;Casasco;$ 21661.01;60%;$ 8664.4
25262;claritromicina;ISET;500 mg comp.x 16;Casasco;$ 25527.4;60%;$ 10210.96
25488;claritromicina;ISET U.D.;500 mg comp.x 4;Casasco;$ 7332.04;60%;$ 2932.82
25489;claritromicina;ISET U.D.;500 mg comp.x 8;Casasco;$ 14375.63;60%;$ 5750.25
54910;claritromicina+ambroxol;ISET RESPIRATORIO;500/60 mg comp.x 16;Casasco;$ 21651.22;50%;$ 10825.61
54601;clindamicina;RESBIOTIC;300 mg cáps.x 16;Casasco;$ 13550.68;60%;$ 5420.27
54602;clindamicina;RESBIOTIC;300 mg cáps.x 24;Casasco;$ 19184.17;60%;$ 7673.67
59698;clofedianol+bromhexina;UNITOS;ad.jbe.x 100 ml;Casasco;$ 7522.72;50%;$ 3761.36
59699;clofedianol+bromhexina;UNITOS;ped.jbe.x 100 ml;Casasco;$ 7522.72;50%;$ 3761.36
58993;clonazepam;QUAZEMIC SL;0.25 mg comp.subl. x 30;Casasco;$ 4258.89;50%;$ 2129.45
56426;clonazepam;QUAZEMIC;0.25 mg comp.x 60;Casasco;$ 6191.45;50%;$ 3095.73
46241;clonazepam;QUAZEMIC;0.5 mg comp.x 30;Casasco;$ 7225.69;50%;$ 3612.85
46242;clonazepam;QUAZEMIC;0.5 mg comp.x 60;Casasco;$ 11631.48;50%;$ 5815.74
58418;clonazepam;QUAZEMIC;1 mg comp.x 30;Casasco;$ 7267.51;50%;$ 3633.76
58419;clonazepam;QUAZEMIC;1 mg comp.x 60;Casasco;$ 11490.42;50%;$ 5745.21
46243;clonazepam;QUAZEMIC;2 mg comp.x 30;Casasco;$ 7695.57;80%;$ 1539.11
46244;clonazepam;QUAZEMIC;2 mg comp.x 60;Casasco;$ 10927.54;80%;$ 2185.51
58992;clonazepam;QUAZEMIC;gts.x 20 ml;Casasco;$ 7419.15;50%;$ 3709.58
10758;clonidina+clortalidona;BEMPLAS;comp.x 30;Casasco;$ 7926.16;60%;$ 3170.46
10473;clonidina+clortalidona;BEMPLAS;comp.x 60;Casasco;$ 15149.82;60%;$ 6059.93
33410;clopidogrel;PLEYAR;75 mg comp.rec.x 30;Casasco;$ 55063.3;50%;$ 27531.65
58994;clortalidona;EURETICO;25 mg comp.x 30;Casasco;$ 11226.16;50%;$ 5613.08
36177;clortalidona;EURETICO;50 mg comp.x 30;Casasco;$ 7042.36;50%;$ 3521.18
53049;colina,salicilato+asoc.;DERCOLINA A;jalea x 20 g;Casasco;$ 14722.8;50%;$ 7361.4
49557;colina,salicilato+asoc.;DERCOLINA;jalea x 20 g;Casasco;$ 13081.57;50%;$ 6540.79
60479;dapagliflozina;NEDAL;10 mg comp.rec.x 30;Casasco;$ 60625.01;100%;$ 0
49692;desvenlafaxina;VELDEX;50 mg comp.x 30;Casasco;$ 25719.95;50%;$ 12859.98
50771;dexketoprofeno;ALGICUR;25 mg comp.rec.x 20;Casasco;$ 14280.33;50%;$ 7140.17
50772;dexketoprofeno;ALGICUR;25 mg comp.rec.x 40;Casasco;$ 23967.47;50%;$ 11983.74
44637;diacereína;COMINAR;50 mg cáps.x 30;Casasco;$ 28663.92;50%;$ 14331.96
47213;diacereína;COMINAR;50 mg cáps.x 60;Casasco;$ 44516.6;50%;$ 22258.3
24819;diclofenac dietilamina;BLOKIUM GEL;1.16 g pomo x 50 g;Casasco;$ 16281.22;40%;$ 9768.73
46818;diclofenac potásico+betametasona;BLOKIUM CORT;comp.x 15;Casasco;$ 19004.8;40%;$ 11402.88
46819;diclofenac potásico+betametasona;BLOKIUM CORT;iny.a.x 5;Casasco;$ 34963.2;40%;$ 20977.92
21240;diclofenac potásico+paracetamol;BLOKIUM GESIC;50/400 mg comp.x 15;Casasco;$ 11708.15;40%;$ 7024.89
21241;diclofenac potásico+paracetamol;BLOKIUM GESIC;50/400 mg comp.x 30;Casasco;$ 19331.71;40%;$ 11599.03
57664;diclofenac potásico+paracetamol;BLOKIUM GESIC FORTE;50/500 mg comp.x 15;Casasco;$ 13360.9;40%;$ 8016.54
57665;diclofenac potásico+paracetamol;BLOKIUM GESIC FORTE;50/500 mg comp.x 30;Casasco;$ 25656.4;40%;$ 15393.84
21238;diclofenac sódico;BLOKIUM;100mg comp.acc.prol.x 15;Casasco;$ 15888.31;40%;$ 9532.99
21234;diclofenac sódico;BLOKIUM;50 mg comp.x 15;Casasco;$ 6674.78;40%;$ 4004.87
21235;diclofenac sódico;BLOKIUM;50 mg comp.x 30;Casasco;$ 10323.97;40%;$ 6194.38
21236;diclofenac sódico;BLOKIUM;75 mg comp.x 15;Casasco;$ 16156.68;40%;$ 9694.01
21237;diclofenac sódico;BLOKIUM;75 mg comp.x 30;Casasco;$ 32547.47;40%;$ 19528.48
52115;diclofenac sódico+omeprazol;BLOKIUM PROTECT;cáps.x 10;Casasco;$ 15370.44;40%;$ 9222.26
50468;diclofenac sódico+omeprazol;BLOKIUM PROTECT;cáps.x 30;Casasco;$ 43165.61;40%;$ 25899.37
23529;diclofenac+pridinol;BLOKIUM FLEX;comp.x 15;Casasco;$ 13844.48;40%;$ 8306.69
23530;diclofenac+pridinol;BLOKIUM FLEX;comp.x 30;Casasco;$ 24923.67;40%;$ 14954.2
51125;diclofenac+pridinol;BLOKIUM FLEX;iny.a.sol.x 3;Casasco;$ 16340.92;40%;$ 9804.55
51126;diclofenac+pridinol;BLOKIUM FLEX;iny.a.sol.x 6;Casasco;$ 27731.03;40%;$ 16638.62
24052;diclofenac+vit.b12+betametasona;BLOKIUM B12;comp.x 15;Casasco;$ 18242.69;40%;$ 10945.61
59849;diclofenac+vit.b12+betametasona;BLOKIUM B12;comp.x 30;Casasco;$ 34775.33;40%;$ 20865.2
54018;diclofenac+vit.b12+betametasona;BLOKIUM B12 IM;iny.x 3;Casasco;$ 27457.19;40%;$ 16474.31
54019;diclofenac+vit.b12+betametasona;BLOKIUM B12 IM;iny.x 5;Casasco;$ 35874.44;40%;$ 21524.66
57670;diosmina+hesperidina micronizada;MILCANOR 1000;comp.rec.x 30;Casasco;$ 47512.23;40%;$ 28507.34
57668;diosmina+hesperidina micronizada;MILCANOR 500;comp.rec.x 30;Casasco;$ 26641.08;40%;$ 15984.65
57669;diosmina+hesperidina micronizada;MILCANOR 500;comp.rec.x 60;Casasco;$ 49453.42;40%;$ 29672.05
1913;domperidona+simeticona;BIGETRIC;comp.x 20;Casasco;$ 9296.49;50%;$ 4648.25
1914;domperidona+simeticona;BIGETRIC;comp.x 40;Casasco;$ 15018.37;50%;$ 7509.19
36179;donepecilo;LIRPAN;10 mg comp.x 30;Casasco;$ 41655.85;50%;$ 20827.93
36178;donepecilo;LIRPAN;5 mg comp.x 30;Casasco;$ 32974.78;50%;$ 16487.39
54367;doxilamina+piridoxina;DETIXOL;cáps.x 30;Casasco;$ 25671.06;50%;$ 12835.53
49694;dutasteride;PLENUR;0.5 mg comp.x 30;Casasco;$ 33812.03;50%;$ 16906.02
24635;enalapril;TENCAS;10 mg comp.x 30;Casasco;$ 7992.17;80%;$ 1598.43
34252;enalapril;TENCAS;10 mg comp.x 50;Casasco;$ 12635.05;80%;$ 2527.01
48353;enalapril;TENCAS;10 mg comp.x 60;Casasco;$ 14890.77;80%;$ 2978.15
24636;enalapril;TENCAS;20 mg comp.x 30;Casasco;$ 9493.84;80%;$ 1898.77
34254;enalapril;TENCAS;20 mg comp.x 50;Casasco;$ 15926.08;80%;$ 3185.22
33477;enalapril;TENCAS;5 mg comp.x 30;Casasco;$ 4745.04;80%;$ 949.01
34250;enalapril;TENCAS;5 mg comp.x 50;Casasco;$ 7004.78;80%;$ 1400.96
48352;enalapril;TENCAS;5 mg comp.x 60;Casasco;$ 8754.2;80%;$ 1750.84
37839;enalapril+hidroclorotiazida;TENCAS D;10/25 mg comp.x 30;Casasco;$ 12680.19;80%;$ 2536.04
37840;enalapril+hidroclorotiazida;TENCAS D;20/12.5 mg comp.x 30;Casasco;$ 13451.86;80%;$ 2690.37
37060;escitalopram;LEXTOR;10 mg comp.rec.x 30;Casasco;$ 31909.45;50%;$ 15954.73
59876;escitalopram;LEXTOR;10 mg comp.rec.x 60;Casasco;$ 48565.95;50%;$ 24282.98
37062;escitalopram;LEXTOR;20 mg comp.rec.x 30;Casasco;$ 56218.39;50%;$ 28109.2
59863;escitalopram;LEXTOR;20 mg comp.rec.x 60;Casasco;$ 83883.91;50%;$ 41941.96
39793;eszopiclona;MIAPAX;2 mg comp.x 30;Casasco;$ 14281.35;50%;$ 7140.68
39794;eszopiclona;MIAPAX;3 mg comp.x 30;Casasco;$ 17932.66;50%;$ 8966.33
54073;etoricoxib;BLOKIUM COX;120 mg comp.x 7;Casasco;$ 11285.2;50%;$ 5642.6
54070;etoricoxib;BLOKIUM COX;60 mg comp.x 28;Casasco;$ 27031.46;50%;$ 13515.73
54071;etoricoxib;BLOKIUM COX;90 mg comp.x 14;Casasco;$ 21567.11;50%;$ 10783.56
54072;etoricoxib;BLOKIUM COX;90 mg comp.x 28;Casasco;$ 34890.88;50%;$ 17445.44
37838;ezetimibe;NALECOL;10 mg comp.x 30;Casasco;$ 16648.29;50%;$ 8324.15
50474;fenofibrato micronizado;SEGREN;200 mg cáps.x 30;Casasco;$ 31841.57;60%;$ 12736.63
38116;fexofenadina;ALERCAS;120 mg comp.x 10;Casasco;$ 9719.49;50%;$ 4859.75
38117;fexofenadina;ALERCAS;120 mg comp.x 30;Casasco;$ 25429.6;50%;$ 12714.8
37844;fexofenadina;ALERCAS;180 mg comp.x 10;Casasco;$ 17974.45;50%;$ 8987.23
37841;fexofenadina;ALERCAS;60 mg comp.x 10;Casasco;$ 5952.35;50%;$ 2976.18
43968;fexofenadina;ALERCAS;susp.x 90 ml;Casasco;$ 8755.92;50%;$ 4377.96
51742;fexofenadina+betametasona;ALERCAS CORT;comp.rec.x 20 (10+10);Casasco;$ 10657.43;50%;$ 5328.72
39789;fexofenadina+pseudoefedrina;ALERCAS D;comp.x 10;Casasco;$ 11108.35;50%;$ 5554.18
43690;fluconazol;ANTIMICON;150 mg comp.x 2;Casasco;$ 13866;50%;$ 6933
43691;fluconazol;ANTIMICON;150 mg comp.x 4;Casasco;$ 24182.94;50%;$ 12091.47
41672;fluticasona;INHALAN;spray nasal x 120 ds.;Casasco;$ 11204.13;80%;$ 2240.83
41671;fluticasona;INHALAN;spray nasal x 60 ds.;Casasco;$ 6581.92;80%;$ 1316.38
53337;fluticasona+azelastina;INHALAN AZ;spray nasal x 120 ds.;Casasco;$ 16972.05;50%;$ 8486.03
49349;fluticasona+oximetazolina clorh.;INHALAN PLUS;spray nasal x 60 ds.;Casasco;$ 11821.94;50%;$ 5910.97
56055;fluticasona+salmeterol;INHALAN BRONQUIAL 500/50 MCG;cáps.p/inh.x 60+aplic.;Casasco;$ 46164.81;60%;$ 18465.92
56054;fluticasona+salmeterol;INHALAN BRONQUIAL 250/50 MCG;cáps.p/inh.x 60+aplic.;Casasco;$ 45610.61;60%;$ 18244.24
10756;flúor+calcio;ADOLCAS;comp.x 60;Casasco;$ 20459.89;60%;$ 8183.96
43844;gabapentin;ELIFER;100 mg comp.x 30;Casasco;$ 15450.64;60%;$ 6180.26
43845;gabapentin;ELIFER;300 mg comp.x 30;Casasco;$ 28158.68;60%;$ 11263.47
43846;gabapentin;ELIFER;300 mg comp.x 60;Casasco;$ 50242.88;60%;$ 20097.15
43847;gabapentin;ELIFER;600 mg comp.x 30;Casasco;$ 33478.18;60%;$ 13391.27
32796;haloperidol;ENABRAN;10 mg comp.x 60;Casasco;$ 28291.43;60%;$ 11316.57
55707;haloperidol;ENABRAN;2 mg/ml gts.x 30 ml;Casasco;$ 7745.8;60%;$ 3098.32
51777;hierro+vit.b12+fólico,ác.;REXFOL;comp.x 30;Casasco;$ 24222.98;50%;$ 12111.49
49685;homatropina,metilbr.+simeticona;FACTOR AG ANTIESPASMODICO;gts.x 30 ml;Casasco;$ 8267.22;50%;$ 4133.61
52589;itopride;IDELIS;50 mg comp.x 30;Casasco;$ 18162.25;50%;$ 9081.13
40044;ketorolac;TELEDOL SL;10 mg comp.subl.x 10;Casasco;$ 9256.21;50%;$ 4628.11
37847;ketorolac;TELEDOL;20 mg comp.x 10;Casasco;$ 9704.62;50%;$ 4852.31
37848;ketorolac;TELEDOL;20 mg comp.x 20;Casasco;$ 15699.69;50%;$ 7849.85
40045;ketorolac;TELEDOL;30 mg a.x 3 x 2 ml;Casasco;$ 5699.45;50%;$ 2849.73
41443;lamotrigina;LAMOCAS;100 mg comp.dispers.x 30;Casasco;$ 35266.87;60%;$ 14106.75
59857;lamotrigina;LAMOCAS;100 mg comp.dispers.x 60;Casasco;$ 67624.57;60%;$ 27049.83
51681;lamotrigina;LAMOCAS XR;100 mg comp.x 30;Casasco;$ 40350.17;60%;$ 16140.07
51682;lamotrigina;LAMOCAS XR;100 mg comp.x 60;Casasco;$ 80416.02;60%;$ 32166.41
41444;lamotrigina;LAMOCAS;200 mg comp.dispers.x 30;Casasco;$ 57369.87;60%;$ 22947.95
41441;lamotrigina;LAMOCAS;25 mg comp.dispers.x 30;Casasco;$ 13517.15;60%;$ 5406.86
41442;lamotrigina;LAMOCAS;50 mg comp.dispers.x 30;Casasco;$ 21010.28;60%;$ 8404.11
43271;levetiracetam;CALLEXE;1000 mg comp.rec.x 30;Casasco;$ 122862.79;50%;$ 61431.4
43272;levetiracetam;CALLEXE;1000 mg comp.rec.x 50;Casasco;$ 141734.61;50%;$ 70867.31
59275;levetiracetam;CALLEXE;1000 mg comp.rec.x 60;Casasco;$ 169817.01;50%;$ 84908.51
43269;levetiracetam;CALLEXE;500 mg comp.rec.x 30;Casasco;$ 61697.95;50%;$ 30848.98
43270;levetiracetam;CALLEXE;500 mg comp.rec.x 50;Casasco;$ 94677.7;50%;$ 47338.85
41601;levetiracetam;CALLEXE;500 mg comp.rec.x 60;Casasco;$ 113133.36;50%;$ 56566.68
47934;levetiracetam;CALLEXE XR;500 mg comp.x 30;Casasco;$ 64141;50%;$ 32070.5
45365;levetiracetam;CALLEXE;500 mg iny.a.x 5;Casasco;$ 69837.18;50%;$ 34918.59
47935;levetiracetam;CALLEXE XR;750 mg comp.x 30;Casasco;$ 93093.34;50%;$ 46546.67
51743;levetiracetam;CALLEXE;sol.oral x 300 ml;Casasco;$ 131881.11;50%;$ 65940.56
43010;levofloxacina;FENTAXINA;500 mg comp.rec.x 7;Casasco;$ 14042.29;60%;$ 5616.92
43011;levofloxacina;FENTAXINA;750 mg comp.rec.x 5;Casasco;$ 16163.24;60%;$ 6465.3
39206;lisado bacteriano;BRONCHO-VAXOM ADULTOS;cáps.x 10;Casasco;$ 61252.19;40%;$ 36751.31
43116;lisado bacteriano;BRONCHO-VAXOM ADULTOS;cáps.x 30;Casasco;$ 182559.99;40%;$ 109535.99
43118;lisado bacteriano;BRONCHO-VAXOM NIÑOS;sobres x 30;Casasco;$ 116828.14;40%;$ 70096.88
53243;lisado bacteriano+vit.a;VACUNA ORAL CASASCO;comp.x 30;Casasco;$ 42881.68;40%;$ 25729.01
43969;lisado bacteriano+vit.a;VACUNA ORAL CASASCO;fco.gotero x 30 ml;Casasco;$ 43490.84;40%;$ 26094.5
46820;loratadina+betametasona;CORTICAS L UD;comp.x 10;Casasco;$ 8752.22;40%;$ 5251.33
44718;loratadina+betametasona;CORTICAS L;comp.x 10;Casasco;$ 8413.72;40%;$ 5048.23
44719;loratadina+betametasona;CORTICAS L;sol.oral x 60 ml;Casasco;$ 8776.45;40%;$ 5265.87
50668;losartán;LOPLAC XR;100 mg comp.x 30;Casasco;$ 40752.53;80%;$ 8150.51
37849;losartán;LOPLAC;100 mg comp.x 30;Casasco;$ 26974.72;80%;$ 5394.94
23716;losartán;LOPLAC;50 mg comp.x 30;Casasco;$ 22099.41;80%;$ 4419.88
52677;losartán;LOPLAC;50 mg comp.x 60;Casasco;$ 41804.35;80%;$ 8360.87
37850;losartán+hidroclorotiazida;LOPLAC D;100 mg/25 mg comp.x 30;Casasco;$ 28077.35;60%;$ 11230.94
23717;losartán+hidroclorotiazida;LOPLAC D;50 mg/12.5 mg comp.x 30;Casasco;$ 25873.23;60%;$ 10349.29
54231;memantine;CARRIER XR;14 mg comp.x 30;Casasco;$ 32518.62;50%;$ 16259.31
45366;memantine;CARRIER;20 mg comp.x 30;Casasco;$ 42793.84;50%;$ 21396.92
55079;memantine;CARRIER XR;21 mg comp.x 30;Casasco;$ 38577.08;50%;$ 19288.54
54232;memantine;CARRIER XR;28 mg comp.x 30;Casasco;$ 44728.69;50%;$ 22364.35
55078;memantine;CARRIER XR;7 mg comp.x 30;Casasco;$ 19135.48;50%;$ 9567.74
34110;memantine;CARRIER;comp.x 30;Casasco;$ 33056.32;50%;$ 16528.16
34111;memantine;CARRIER;comp.x 60;Casasco;$ 58860.91;50%;$ 29430.46
46202;memantine clorh.+donepecilo clor;CARRIER PLUS;20/10mg comp.x56 (28+28);Casasco;$ 59358.62;50%;$ 29679.31
46203;memantine clorh.+donepecilo clor;CARRIER PLUS;20/5mg comp.x 56 (28+28);Casasco;$ 52489.54;50%;$ 26244.77
54230;memantine+donepecilo;LIRPAN PLUS;14/10mg cáps.x 30;Casasco;$ 66975;50%;$ 33487.5
54229;memantine+donepecilo;LIRPAN PLUS;28/10mg cáps.x 30;Casasco;$ 73973.99;50%;$ 36987
55704;mesalazina;CONDUCTASA;1200 mg comp.x 60;Casasco;$ 222907.54;50%;$ 111453.77
49184;mesalazina;CONDUCTASA;500 mg comp.x 60;Casasco;$ 103579.54;50%;$ 51789.77
49185;mesalazina;CONDUCTASA;800 mg comp.x 60;Casasco;$ 166288.81;50%;$ 83144.41
56250;metformina;IMECOT AP FORTE;1000 mg comp.x 30;Casasco;$ 11343.24;100%;$ 0
56251;metformina;IMECOT AP FORTE;1000 mg comp.x 60;Casasco;$ 20854.15;100%;$ 0
56246;metformina;IMECOT;500 mg comp.x 30;Casasco;$ 4189.78;100%;$ 0
57850;metformina;IMECOT AP;500 mg comp.x 30;Casasco;$ 7189.86;100%;$ 0
57851;metformina;IMECOT AP;500 mg comp.x 60;Casasco;$ 13693.43;100%;$ 0
56247;metformina;IMECOT;500 mg comp.x 60;Casasco;$ 8348.59;100%;$ 0
56248;metformina;IMECOT AP;850 mg comp.x 30;Casasco;$ 8569.19;100%;$ 0
56249;metformina;IMECOT AP;850 mg comp.x 60;Casasco;$ 16860.41;100%;$ 0
55081;minociclina;LIMAFIL 50;50 mg comp.x 30;Casasco;$ 14585.62;60%;$ 5834.25
43014;montelukast;MONTRATE;10 mg comp. x 30;Casasco;$ 33304.31;50%;$ 16652.16
43012;montelukast;MONTRATE;4 mg comp.mast.x 30;Casasco;$ 31773.84;50%;$ 15886.92
43013;montelukast;MONTRATE;5 mg comp.mast.x 30;Casasco;$ 32304.29;50%;$ 16152.15
46142;montelukast;MONTRATE;sob.x 30;Casasco;$ 31428.73;50%;$ 15714.37
54913;nebivolol;NIRPOL;10 mg comp.x 28;Casasco;$ 28563.14;50%;$ 14281.57
54914;nebivolol;NIRPOL;10 mg comp.x 56;Casasco;$ 59628.89;50%;$ 29814.45
47593;nebivolol;NIRPOL;5 mg comp.x 28;Casasco;$ 15326.31;50%;$ 7663.16
59858;nebivolol;NIRPOL;5 mg comp.x 30;Casasco;$ 14732.26;50%;$ 7366.13
54912;nebivolol;NIRPOL;5 mg comp.x 56;Casasco;$ 31531.74;50%;$ 15765.87
49693;nebivolol+hidroclorotiazida;NIRPOL D;5/12.5 mg comp.x 28;Casasco;$ 21872.24;50%;$ 10936.12
44645;nimodipina;EXPLANER LP;120 mg comp.x 30;Casasco;$ 21985.3;50%;$ 10992.65
11553;nimodipina;EXPLANER;30 mg comp.x 30;Casasco;$ 9935.9;50%;$ 4967.95
27828;nimodipina;EXPLANER;30 mg comp.x 60;Casasco;$ 16510.5;50%;$ 8255.25
24055;nimodipina;EXPLANER 60;60 mg comp.x 30;Casasco;$ 16241.47;50%;$ 8120.74
27829;nimodipina;EXPLANER 60;60 mg comp.x 60;Casasco;$ 24761.52;50%;$ 12380.76
48013;olanzapina;ENOLEX;10 mg comp.x 28;Casasco;$ 138347.08;50%;$ 69173.54
48012;olanzapina;ENOLEX;5 mg comp.x 28;Casasco;$ 70243.28;50%;$ 35121.64
42070;orlistat;OLEOFIN;120 mg cáps.x 30;Casasco;$ 45289.06;50%;$ 22644.53
42071;orlistat;OLEOFIN;120 mg cáps.x 60;Casasco;$ 83938.65;50%;$ 41969.33
43688;orlistat;OLEOFIN;60 mg cáps.x 30;Casasco;$ 27263.15;50%;$ 13631.58
38608;paroxetina;TIARIX 10;10 mg comp.rec.x 30;Casasco;$ 14465.16;50%;$ 7232.58
43842;paroxetina;TIARIX CR;12.5 mg comp.x 30;Casasco;$ 24671.28;50%;$ 12335.64
24815;paroxetina;TIARIX;20 mg comp.x 30;Casasco;$ 34044.96;50%;$ 17022.48
59864;paroxetina;TIARIX;20 mg comp.x 60;Casasco;$ 60449.07;50%;$ 30224.54
43843;paroxetina;TIARIX CR;25 mg comp.x 30;Casasco;$ 27783.65;50%;$ 13891.83
2002;pool bacteriano;VACUNACE;sob.x 20;Casasco;$ 20567.25;50%;$ 10283.63
45249;pool bacteriano;VACUNACE;sob.x 30;Casasco;$ 30575.81;50%;$ 15287.91
49187;potasio,citrato;UROKIT;comp.lib.prol.x 30;Casasco;$ 17038.79;50%;$ 8519.4
49188;potasio,citrato;UROKIT;comp.lib.prol.x 60;Casasco;$ 32718.39;50%;$ 16359.2
10540;potasio,citrato;UROKIT;sob.x 60;Casasco;$ 27249.33;50%;$ 13624.67
57704;pramipexol;NOXOPRAN;0.25 mg comp.x 100;Casasco;$ 55827.76;50%;$ 27913.88
43970;pramipexol;NOXOPRAN;0.25 mg comp.x 30;Casasco;$ 13039.04;50%;$ 6519.52
43971;pramipexol;NOXOPRAN;0.25 mg comp.x 60;Casasco;$ 26555.39;50%;$ 13277.7
57703;pramipexol;NOXOPRAN;1 mg comp.x 100;Casasco;$ 196461.23;50%;$ 98230.62
43972;pramipexol;NOXOPRAN;1 mg comp.x 30;Casasco;$ 50700.9;50%;$ 25350.45
43973;pramipexol;NOXOPRAN;1 mg comp.x 60;Casasco;$ 105214.57;50%;$ 52607.29
51778;prasugrel;ENIPRAX;10 mg comp.x 30;Casasco;$ 41622.14;50%;$ 20811.07
37851;prednisolona+asoc.;PROCTO VENART;pda.x 10 g;Casasco;$ 8395.79;50%;$ 4197.9
45254;prednisolona+asoc.;PROCTO VENART;pda.x 30 g;Casasco;$ 16569.97;50%;$ 8284.99
